,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
264,sj_8f1dec28b01ff48e,13,5,4,1801.0,942.0,380.0,404.0,256.0,98.0,17.387755102040817,9.612244897959183,4.112244897959184
267,sj_31e30c281bc5397c,17,5,5,1248.0,625.0,285.0,315.0,201.0,60.0,19.816666666666666,10.416666666666666,5.25
270,sj_ee22d411633f8ce9,25,11,6,1421.0,637.0,286.0,320.0,204.0,75.0,17.96,8.493333333333334,4.253333333333333
272,sj_8df1ef93f7d6c3e9,15,5,4,1695.0,818.0,387.0,377.0,272.0,59.0,27.74576271186441,13.864406779661017,6.389830508474576
273,sj_5ac4d8a147a34495,25,10,4,1766.0,839.0,360.0,482.0,282.0,108.0,15.36111111111111,7.768518518518518,4.462962962962963
274,sj_cd4adb54e9587be1,4,2,2,963.0,449.0,220.0,261.0,151.0,63.0,14.301587301587302,7.126984126984127,4.142857142857143
275,sj_68ece0ba1767aa43,9,5,4,425.0,204.0,120.0,113.0,80.0,25.0,16.04,8.16,4.52
277,sj_8a70e030339eb2f8,11,3,3,2771.0,1390.0,538.0,603.0,355.0,119.0,22.294117647058822,11.672268907563025,5.0588235294117645
278,sj_e5699618671dd5fc,11,5,3,1688.0,856.0,395.0,401.0,266.0,84.0,19.107142857142858,10.19047619047619,4.7976190476190474
279,sj_0f52628835910cde,30,10,6,1403.0,661.0,314.0,383.0,238.0,101.0,12.900990099009901,6.544554455445544,3.801980198019802
296,sj_ce7cd8fc689c2ef1,9,2,2,1398.0,623.0,245.0,358.0,170.0,89.0,14.719101123595506,7.0,4.022471910112359
330,sj_3efb3c619d9aba00,31,14,8,1480.0,722.0,277.0,335.0,181.0,99.0,13.95959595959596,7.282828282828283,3.3737373737373737
331,sj_433ce60376aadb8a,15,6,4,1439.0,668.0,309.0,362.0,235.0,78.0,17.46153846153846,8.564102564102564,4.641025641025641
345,sj_ae13d609e44b5a22,16,6,4,1357.0,714.0,294.0,345.0,202.0,79.0,16.189873417721518,9.037974683544304,4.367088607594937
346,sj_cdb9f620e313bc35,16,6,4,1509.0,793.0,336.0,407.0,245.0,82.0,17.414634146341463,9.670731707317072,4.963414634146342
347,sj_50b6c3f56cd76d0c,8,3,3,1950.0,976.0,379.0,488.0,265.0,91.0,20.439560439560438,10.725274725274724,5.362637362637362
367,sj_3a4c8c83255e46c1,9,4,3,1362.0,656.0,316.0,355.0,226.0,86.0,14.848837209302326,7.616279069767442,4.1395348837209305
382,sj_e026fd9e7d30ec40,28,11,7,3406.0,1877.0,570.0,665.0,353.0,81.0,41.06172839506173,23.17283950617284,8.222222222222221
399,sj_d889e3f333aef05c,6,2,2,1796.0,901.0,348.0,526.0,261.0,104.0,16.278846153846153,8.663461538461538,5.048076923076923
414,sj_07c4c156e1861f2f,34,16,10,1071.0,494.0,234.0,272.0,166.0,90.0,10.911111111111111,5.488888888888889,3.022222222222222
